"","Date","Retail and recreation","Grocery and pharmacy","Parks","Transit stations","Workplaces","Residential"
"214","2020-09-15","-10","2","38","-30","-27","8"
"215","2020-09-16","-7","5","44","-27","-27","7"
"216","2020-09-17","-10","2","26","-30","-28","7"
"217","2020-09-18","-20","-4","2","-32","-27","8"
"218","2020-09-19","-21","-5","-4","-30","-7","6"
"219","2020-09-20","-21","-7","0","-31","0","5"
"220","2020-09-21","-12","0","29","-30","-27","7"
"221","2020-09-22","-14","2","17","-29","-25","7"
"222","2020-09-23","-15","2","17","-28","-23","7"
"223","2020-09-24","-15","1","20","-29","-24","7"
"224","2020-09-25","-19","0","12","-29","-23","7"
"225","2020-09-26","-22","-4","5","-27","-4","5"
"226","2020-09-27","-23","-9","1","-30","-1","5"
"227","2020-09-28","-16","3","11","-31","-21","8"
"228","2020-09-29","-14","4","14","-27","-21","7"
"229","2020-09-30","-12","7","17","-23","-21","5"
"230","2020-10-01","-12","7","13","-25","-19","6"
"231","2020-10-02","-19","3","-9","-26","-20","7"
"232","2020-10-03","-17","1","8","-23","-7","3"
"233","2020-10-04","-17","-6","3","-30","-6","4"
"234","2020-10-05","-21","-5","32","-50","-73","20"
"235","2020-10-06","-15","4","7","-24","-21","6"
